FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-10000,31-Jan-24,GRAND,vehicle reported at workshop for wireless charges not working,57060,3/11/2025,3/10/2025
FTIR-10019,28-Dec-20,SWIFT,WARNING LIGHT IS GLOWNING DUE TO CONTROLLER ASSY BODY ELEC NOT WORKING,27258,2/24/2025,2/24/2025
FTIR-10020,13-Aug-20,XL6,engine not starting Defective part is MGU assy,41912,3/15/2025,3/15/2025
FTIR-10057,27-Sep-20,ERTIGA,VEHICLE NOT STARTING,28469,3/4/2025,3/4/2025
FTIR-10066,19-Mar-21,VITARA,Customer complaint turn indicators switch on time front both side headlight indicator not working and sdt connected No dtc code found and BCM assy is deffective,29417,3/6/2025,3/6/2025
FTIR-10074,11-Jul-24,S-PRESSO,vehicle suddelnly runing stop not restart after checking checked vehicle found that MIL light A off light immobilizer light not glowing after ignition switch on due to ecm assy defective,5468,2/16/2025,2/16/2025
FTIR-10105,14-Sep-22,BALENO,REVERS CAMERA NOT WORKING DUE TO 360 CAMERA SYSTEM NOT WORKING CONTROLLER ASSY CAMER FAULTY,39217,4/25/2025,4/24/2025
FTIR-10113,16-May-24,SWIFT,in running condition mal function light glowing and ac not working due to internally ECM defetive,21365,3/21/2025,3/21/2025
FTIR-10115,30-Dec-22,CELERIO,WARNING LIGHT GLOWING BLINKING AIR BAG LIGHT ON DTC FOUND FOUND B100304 SDM INTERNAL FAILURE SDM CONTROLLER NOT WORKING B106414 DRIVER SIDE BELT PRETENSIONER CIRCUIT SHORTED TO GROUND FOUND HISTORY SDM CONTROLLER ASSY REPL,6288,2/11/2025,2/11/2025
FTIR-10152,26-Oct-21,ERTIGA,Vehicle not starting after parking for three days due to the defect of MGU ASS,10143,2/19/2025,2/19/2025
FTIR-10155,27-Feb-24,ERTIGA,STEERING LOCK NOT WORKING,20387,4/5/2025,4/4/2025
FTIR-10157,31-Mar-25,EECO,ENGINE NOT STARTING,123,4/15/2025,4/15/2025
FTIR-10168,19-Aug-22,BALENO,DCM IS NOT WORKING,9763,3/18/2025,3/18/2025
FTIR-10187,30-Aug-22,BALENO,GLANZA (K12N24R) AUDIO SYSTEM NOT WORKING PROPERLY WHILE OPERATING AND SYSTEM GETTING OPERATED AUTOMATICALLY,52288,3/19/2025,2/6/2025
FTIR-10211,,GRAND,ENGINE NOT STARTING,1,3/5/2025,3/5/2025
FTIR-10259,44452,VITARA,DTC CODE SHOWING ECM RELATED ISSUE STARING TROUBLE IN CAR NEW ECM REPLACE CAR FOUND OK,63750,3/1/2025,3/1/2025
FTIR-10264,8-Oct-22,WAGONR,stereo touch not working due to internal failure,21925,2/26/2025,2/18/2025
FTIR-10294,30-Sep-22,CIAZ,Engine not starting in some time battery getting discharge after running time we check current leakage not found but DTC is found P1A0B00 MGU replaced MSIL guideline,56905,3/3/2025,3/3/2025
FTIR-10304,20-Sep-24,GRAND,"URBAN CRUISER HYRYDER (FGB329M) WIRELESS CHARGER NOT WORKING DUE TO DEFECTIVECRADLE ASSY, MOBILE WIRELESS CHARGER.",3093,4/3/2025,3/11/2025
FTIR-10309,25-Mar-21,BALENO,Steering is hard with glowing of ABS MIL BRAKE SYSTEM and POWER STEERING warning light due to defective of ABS actuator assy,32814,4/23/2025,4/23/2025
FTIR-10332,28-May-23,BALENO,CAMERA NOT WORKING DUE TO DEFECTIVE CONTROLLER ASSY CAMERA,43157,4/17/2025,4/17/2025
FTIR-10365,31-May-22,XL6,Camera Not Working Due To Controller Assy Camera Found Defective,25627,4/18/2025,4/18/2025
FTIR-10378,27-May-23,SWIFT,Steering hard to operate and found esp light steering light abs light hand brake light glows on cluster meter when vehicle is started due to some internal defect in actuator assy esp,37155,3/3/2025,3/3/2025
FTIR-10392,31-Jul-24,XL6,Lithiumionbateery failure due to water entry inside Found DTC in current is P1B9000 P1B9200 P1BB200 and in history is P0A7D00 P1BB000 P1BA100,12855,4/11/2025,4/11/2025
FTIR-10401,26-Jun-23,BALENO,WARNING LIGHT GLOWING ABSESP STEERING GETTING HARD DTC CODE APPEAR DUE TO ABS ACTUATOR NOT RESPONDING PROPERLY,24028,4/18/2025,4/18/2025
FTIR-10429,26-Dec-20,VITARA,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,14914,2/19/2025,2/19/2025
FTIR-10436,8-Dec-21,XL6,Infotainment system not working Fuse blown off automatically,18222,3/21/2025,3/21/2025
FTIR-10440,10-Sep-21,XL6,engine not starting and mil light glowing,80450,4/16/2025,4/16/2025
FTIR-10456,0,JIMNY,VEHICLE NOT STARTING BATTERY ISSUE,138,2/27/2025,2/27/2025
